id,bene,libro,provincia,comune,compilazione,href,categoria
105,Settimana Santa e Giunta di Pasqua,REI - Libro delle celebrazioni,Enna,Aidone,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/20,Rappresentazione/Spettacolo
106,Festa del Battimento,REI - Libro delle celebrazioni,Enna,Aidone,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/21,Festa/Cerimonia
107,Festa di San Giuseppe,REI - Libro delle celebrazioni,Enna,Valguarnera Caropepe,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/29,Festa/Cerimonia
108,Processione della Madonna della Visitazione,REI - Libro delle celebrazioni,Enna,Enna,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/23,Festa/Cerimonia
109,Processione del Venerdì Santo,REI - Libro delle celebrazioni,Enna,Enna,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/24,Processioni rituali
110,Settimana Santa,REI - Libro delle celebrazioni,Enna,Barrafranca,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/22,Festa pasquale
111,Pane Votivo di San Giuseppe,REI - Libro delle celebrazioni,Palermo,Chiusa Sclafani,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/51,Pane votivo
112,Settimana Santa,REI - Libro delle celebrazioni,Catania,Biancavilla,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/11,Festa pasquale
113,Festa di San Giacomo,REI - Libro delle celebrazioni,Catania,Caltagirone,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/12,Festa patronale
114,Pani Pulitu della Cena di San Giuseppe,REI - Libro delle celebrazioni,Ragusa,Santa Croce Camerina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/69,Pane votivo
115,Funzioni di San Giuseppe,REI - Libro delle celebrazioni,Palermo,Roccamena,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/63,Celebrazione
116,Festa dell'Assunta,REI - Libro delle celebrazioni,Messina,Messina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/36,Festa patronale
117,Festa della Madonna della Lettera,REI - Libro delle celebrazioni,Messina,Messina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/37,Festa patronale
118,Festa di San Leone,REI - Libro delle celebrazioni,Messina,Sinagra,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/46,Festa patronale
119,Festa del Santissimo Crocifisso,REI - Libro delle celebrazioni,Trapani,Calatafimi-Segesta,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/81,Festa/Cerimonia
120,Processione dei Misteri del Venerdì Santo,REI - Libro delle celebrazioni,Messina,Barcellona Pozzo di Gotto,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/32,Processioni rituali
121,I Misi i l'Annu,REI - Libro delle celebrazioni,Messina,Rodi' Milici,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/41,Festa
122,Festa Madonna Santissima dell'Udienza,REI - Libro delle celebrazioni,Messina,Roccella Valdemone,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/39,Festa/Cerimonia
123,Festa e Culto di San Benedetto il Moro,REI - Libro delle celebrazioni,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/59,Festa patronale
124,Festa di San Giuseppe,REI - Libro delle celebrazioni,Enna,Leonforte,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/25,Festa/Cerimonia
125,Festa di Sant'Antonio da Padova,REI - Libro delle celebrazioni,Enna,Leonforte,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/30,Festa/Cerimonia
126,Arte del Carradore di Antonio Vasile,REI - Libro dei saperi,Ragusa,Santa Croce Camerina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/146,Tecnica artigiana
127,Lu Signuri di li fasci,REI - Libro delle celebrazioni,Enna,Pietraperzia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/27,Festa pasquale
128,Cucina Tradizionale Siciliana,REI - Libro dei saperi,,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/156,Cultura enogastronomica regionale
129,Targa Florio e Giro di Sicilia,REI - Libro delle celebrazioni,Palermo,Palermo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/52,Celebrazione
